Statistics for the cluster #2
---------------------------------------

#perturbations:	36


* CellLine distribution and count:
	          BT20:	100.0%	36

* DrugNameTarget distribution and count:
	AKT-inhibitor-1-2:	  2.8%	 1
	      AZD-6482:	  5.6%	 2
	 BRD-A18328003:	 16.7%	 6
	 BRD-K29395450:	  2.8%	 1
	 BRD-K54997624:	 11.1%	 4
	   GSK-1059615:	 11.1%	 4
	    GSK-690693:	 11.1%	 4
	    NVP-BEZ235:	 16.7%	 6
	     YM-201636:	  2.8%	 1
	    buparlisib:	  8.3%	 3
	       torin-2:	 11.1%	 4

* Conc distribution and count:
	          0.04:	  8.3%	 3
	          0.12:	 11.1%	 4
	          0.37:	 13.9%	 5
	          1.11:	 16.7%	 6
	          3.33:	 22.2%	 8
	            10:	 27.8%	10

* Time distribution and count:
	            24:	100.0%	36

* DrugClass distribution and count:
	             -:	100.0%	36

* cellular_function distribution and count:
	             -:	100.0%	36

* GRvalue distribution:
	[min,	25%	med	75%	max]:
	[ 0.02	 0.21	 0.41	 0.54	 1.00]

* log10pvals distribution:
	[min,	25%	med	75%	max]:
	[-3.72	-2.73	-2.47	-2.00	-1.30]

----------------------------------------
all perturbations
CellLine	DrugNameTarget	Conc	Time	DrugClass	cellular_function	GRvalue	log10pvals	LJPplate	HMSLid
BT20	GSK-1059615	10	24	-	-	0.97482	-1.6371	LJP005_BT20_24H	HMSL10172
BT20	GSK-1059615	3.33	24	-	-	0.17773	-2.7445	LJP005_BT20_24H	HMSL10172
BT20	GSK-1059615	1.11	24	-	-	0.45083	-2.6515	LJP005_BT20_24H	HMSL10172
BT20	GSK-1059615	0.37	24	-	-	0.19179	-1.9415	LJP005_BT20_24H	HMSL10172
BT20	GSK-690693	10	24	-	-	0.069699	-2.0381	LJP005_BT20_24H	HMSL10128
BT20	GSK-690693	3.33	24	-	-	0.22142	-2.0348	LJP005_BT20_24H	HMSL10128
BT20	GSK-690693	1.11	24	-	-	0.71016	-1.4471	LJP005_BT20_24H	HMSL10128
BT20	GSK-690693	0.12	24	-	-	0.38943	-1.4865	LJP005_BT20_24H	HMSL10128
BT20	buparlisib	10	24	-	-	0.43081	-2.7397	LJP005_BT20_24H	HMSL10147
BT20	buparlisib	3.33	24	-	-	0.29531	-2.539	LJP005_BT20_24H	HMSL10147
BT20	buparlisib	1.11	24	-	-	0.30059	-2.0127	LJP005_BT20_24H	HMSL10147
BT20	AZD-6482	10	24	-	-	0.99802	-2.6362	LJP005_BT20_24H	HMSL10059
BT20	AZD-6482	3.33	24	-	-	0.59025	-1.8365	LJP005_BT20_24H	HMSL10059
BT20	torin-2	0.37	24	-	-	0.45866	-2.5621	LJP005_BT20_24H	HMSL10080
BT20	torin-2	0.12	24	-	-	0.43226	-2.4646	LJP005_BT20_24H	HMSL10080
BT20	torin-2	0.04	24	-	-	0.090757	-2.8207	LJP005_BT20_24H	HMSL10080
BT20	BRD-K29395450	10	24	-	-	0.69146	-2.4671	LJP005_BT20_24H	HMSL10190
BT20	BRD-A18328003	10	24	-	-	0.51347	-3.3757	LJP005_BT20_24H	HMSL10234
BT20	BRD-A18328003	0.37	24	-	-	0.69296	-2.6554	LJP005_BT20_24H	HMSL10234
BT20	BRD-A18328003	0.04	24	-	-	0.51818	-1.3027	LJP005_BT20_24H	HMSL10234
BT20	NVP-BEZ235	0.12	24	-	-	0.62181	-2.8324	LJP005_BT20_24H	HMSL10232
BT20	NVP-BEZ235	0.04	24	-	-	0.033017	-2.7256	LJP005_BT20_24H	HMSL10232
BT20	BRD-K54997624	10	24	-	-	0.13044	-2.7956	LJP005_BT20_24H	HMSL10233
BT20	BRD-K54997624	3.33	24	-	-	0.56647	-2.2941	LJP005_BT20_24H	HMSL10233
BT20	AKT-inhibitor-1-2	10	24	-	-	0.47223	-2.232	LJP005_BT20_24H	HMSL10035
BT20	torin-2	3.33	24	-	-	0.45453	-2.3496	LJP005_BT20_24H	HMSL10080
BT20	BRD-A18328003	3.33	24	-	-	0.35706	-2.8791	LJP005_BT20_24H	HMSL10234
BT20	BRD-A18328003	1.11	24	-	-	0.35504	-2.2765	LJP005_BT20_24H	HMSL10234
BT20	BRD-A18328003	0.12	24	-	-	0.44807	-1.9897	LJP005_BT20_24H	HMSL10234
BT20	NVP-BEZ235	10	24	-	-	0.17959	-2.5815	LJP005_BT20_24H	HMSL10232
BT20	NVP-BEZ235	3.33	24	-	-	0.76975	-3.719	LJP005_BT20_24H	HMSL10232
BT20	NVP-BEZ235	1.11	24	-	-	0.3143	-2.7421	LJP005_BT20_24H	HMSL10232
BT20	NVP-BEZ235	0.37	24	-	-	0.26881	-2.4934	LJP005_BT20_24H	HMSL10232
BT20	BRD-K54997624	1.11	24	-	-	0.38197	-1.6112	LJP005_BT20_24H	HMSL10233
BT20	BRD-K54997624	0.37	24	-	-	0.19506	-1.3723	LJP005_BT20_24H	HMSL10233
BT20	YM-201636	10	24	-	-	0.020289	-2.3736	LJP005_BT20_24H	HMSL10109
