Statistics for the cluster #5
---------------------------------------

#perturbations:	16


* CellLine distribution and count:
	          BT20:	100.0%	16

* DrugNameTarget distribution and count:
	 BRD-K65182930:	 37.5%	 6
	  geldanamycin:	 37.5%	 6
	     radicicol:	 25.0%	 4

* Conc distribution and count:
	          0.04:	 12.5%	 2
	          0.12:	 18.8%	 3
	          0.37:	 18.8%	 3
	          1.11:	 18.8%	 3
	          3.33:	 18.8%	 3
	            10:	 12.5%	 2

* Time distribution and count:
	            24:	100.0%	16

* DrugClass distribution and count:
	             -:	100.0%	16

* cellular_function distribution and count:
	             -:	100.0%	16

* GRvalue distribution:
	[min,	25%	med	75%	max]:
	[ 0.10	 0.28	 0.44	 0.73	 0.98]

* log10pvals distribution:
	[min,	25%	med	75%	max]:
	[-3.42	-2.63	-2.32	-2.05	-1.30]

----------------------------------------
all perturbations
CellLine	DrugNameTarget	Conc	Time	DrugClass	cellular_function	GRvalue	log10pvals	LJPplate	HMSLid
BT20	BRD-K65182930	10	24	-	-	0.40444	-1.5621	LJP005_BT20_24H	HMSL10161
BT20	BRD-K65182930	3.33	24	-	-	0.24443	-2.4201	LJP005_BT20_24H	HMSL10161
BT20	BRD-K65182930	0.37	24	-	-	0.77018	-1.4944	LJP005_BT20_24H	HMSL10161
BT20	BRD-K65182930	0.12	24	-	-	0.45837	-2.3496	LJP005_BT20_24H	HMSL10161
BT20	BRD-K65182930	0.04	24	-	-	0.68503	-2.2992	LJP005_BT20_24H	HMSL10161
BT20	radicicol	3.33	24	-	-	0.80409	-3.4191	LJP005_BT20_24H	-666
BT20	radicicol	1.11	24	-	-	0.41434	-2.6613	LJP005_BT20_24H	-666
BT20	radicicol	0.37	24	-	-	0.12035	-2.6859	LJP005_BT20_24H	-666
BT20	geldanamycin	10	24	-	-	0.92389	-2.7617	LJP005_BT20_24H	-666
BT20	geldanamycin	3.33	24	-	-	0.62667	-2.5916	LJP005_BT20_24H	-666
BT20	BRD-K65182930	1.11	24	-	-	0.98109	-1.9854	LJP005_BT20_24H	HMSL10161
BT20	radicicol	0.12	24	-	-	0.31076	-1.3024	LJP005_BT20_24H	-666
BT20	geldanamycin	1.11	24	-	-	0.4587	-2.1157	LJP005_BT20_24H	-666
BT20	geldanamycin	0.37	24	-	-	0.16456	-2.1226	LJP005_BT20_24H	-666
BT20	geldanamycin	0.12	24	-	-	0.37758	-2.2975	LJP005_BT20_24H	-666
BT20	geldanamycin	0.04	24	-	-	0.1025	-2.5653	LJP005_BT20_24H	-666
